"Code","Long_Description","Short_Description"
"90801","PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION","PSY DX INTERVIEW"
"90802","INTERACTIVE PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION USING PLAY EQUIPMENT, PHYSICAL DEVICES, LANGUAGE INTERPRETER, OR OTHER MECHANISMS OF C","INTAC PSY DX INTERVIEW"
"90804","INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 20 TO 30 M","PSYTX, OFFICE, 20-30 MIN"
"90805","INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 20 TO 30 M","PSYTX, OFF, 20-30 MIN W/E&M"
"90806","INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 M","PSYTX, OFF, 45-50 MIN"
"90807","INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 45 TO 50 M","PSYTX, OFF, 45-50 MIN W/E&M"
"90808","INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 75 TO 80 M","PSYTX, OFFICE, 75-80 MIN"
"90809","INDIVIDUAL PSYCHOTHERAPY, INSIGHT ORIENTED, BEHAVIOR MODIFYING AND/OR SUPPORTIVE, IN AN OFFICE OR OUTPATIENT FACILITY, APPROXIMATELY 75 TO 80 M","PSYTX, OFF, 75-80, W/E&M"
"90810","INDIVIDUAL PSYCHOTHERAPY,INTERACTIVE,USING PLAY EQUIP, PHYSICAL DEVICES, LANG INTERPRETER/OTH MECHANISMS OF NON-VERBAL COMM, IN AN OFFICE/OUTPA","INTAC PSYTX, OFF, 20-30 MIN"
"90811","INDIVIDUAL PSYCHOTHER,INTERACT,PLAY EQUIP,PHYS DEVICES,LANG INTERPRETER/OTH MECHANISMS OF NON-VERBAL COMM, IN AN OFFICE/OUTPATIENT FACIL,APPROX","INTAC PSYTX, 20-30, W/E&M"
