"04185","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms","Oth gram negatv bacteria"
"04186","Helicobacter pylori [H. pylori]","Helicobacter pylori"
"04189","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria","Oth specf bacteria"
"0419","Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site","Bacterial infection NOS"
"042","Human immunodeficiency virus [HIV] disease","Human immuno virus dis"
"04500","Acute paralytic poliomyelitis specified as bulbar, poliovirus, unspecified type","Ac bulbar polio-type NOS"
"04501","Acute paralytic poliomyelitis specified as bulbar, poliovirus type I","Ac bulbar polio-type 1"
"04502","Acute paralytic poliomyelitis specified as bulbar, poliovirus type II","Ac bulbar polio-type 2"
"04503","Acute paralytic poliomyelitis specified as bulbar, poliovirus type III","Ac bulbar polio-type 3"
"04510","Acute poliomyelitis with other paralysis, poliovirus, unspecified type","Paral polio NEC-type NOS"
"04511","Acute poliomyelitis with other paralysis, poliovirus type I","Paral polio NEC-type 1"
"04512","Acute poliomyelitis with other paralysis, poliovirus type II","Paral polio NEC-type 2"
"04513","Acute poliomyelitis with other paralysis, poliovirus type III","Paral polio NEC-type 3"
"04520","Acute nonparalytic poliomyelitis, poliovirus, unspecified type","Nonparaly polio-type NOS"
"04521","Acute nonparalytic poliomyelitis, poliovirus type I","Nonparalyt polio-type 1"
"04522","Acute nonparalytic poliomyelitis, poliovirus type II","Nonparalyt polio-type 2"
"04523","Acute nonparalytic poliomyelitis, poliovirus type III","Nonparalyt polio-type 3"
"04590","Acute poliomyelitis, unspecified, poliovirus, unspecified type","Ac polio NOS-type NOS"
"04591","Acute poliomyelitis, unspecified, poliovirus type I","Ac polio NOS-type 1"
"04592","Acute poliomyelitis, unspecified, poliovirus type II","Ac polio NOS-type 2"
"04593","Acute poliomyelitis, unspecified, poliovirus type III","Ac polio NOS-type 3"
"0460","Kuru","Kuru"
"0461","JAKOB-CREUTZFELDT DIS","JAKOB-CREUTZFELDT DIS"
"04611","Variant Creutzfeldt-Jakob disease","Varnt Creutzfeldt-Jakob"
"04619","Other and unspecified Creutzfeldt-Jakob disease","Creutzfldt-Jakob NEC/NOS"
"0462","Subacute sclerosing panencephalitis","Subac scleros panenceph"
"0463","Progressive multifocal leukoencephalopathy","Prog multifoc leukoencep"
"04671","Gerstmann-Strdussler-Scheinker syndrome","Gerstmn-Straus-Schnk syn"
"04672","Fatal familial insomnia","Fatal familial insomnia"
"04679","Other and unspecified prion disease of central nervous system","Prion dis of CNS NEC/NOS"
"0468","Other specified slow virus infection of central nervous system","Cns slow virus infec NEC"
"0469","Unspecified slow virus infection of central nervous system","Cns slow virus infec NOS"
"0470","Meningitis due to coxsackie virus","Coxsackie virus mening"
"0471","Meningitis due to echo virus","Echo virus meningitis"
"0478","Other specified viral meningitis","Viral meningitis NEC"
"0479","Unspecified viral meningitis","Viral meningitis NOS"
"048","Other enterovirus diseases of central nervous system","Oth enteroviral cns dis"
"0490","Lymphocytic choriomeningitis","Lymphocytic choriomening"
"0491","Meningitis due to adenovirus","Adenoviral meningitis"
"0498","Other specified non-arthropod-borne viral diseases of central nervous system","Viral encephalitis NEC"
"0499","Unspecified non-arthropod-borne viral diseases of central nervous system","Viral encephalitis NOS"
"0500","Variola major","Variola major"
"0501","Alastrim","Alastrim"
"0502","Modified smallpox","Modified smallpox"
"0509","Smallpox, unspecified","Smallpox NOS"
"0510","COWPOX","COWPOX"
"05101","Cowpox","Cowpox"
